关注要素层次,下一低分析层次,上一高层次功能及要求,功能,下一低层次功能,故障影响,严重度(S),故障模式,故障起因,发生度(O),探测度(D),预防控制措施,探测控制措施,source
Hull,Hull,满足系统持续运行要求,"Wave activated body
Provision of watertight compartment
Structural connectivity & load transfer
Ballast containment",,"Severe structural failure
WEC is no longer functioning",4,Severe structural failure,"Extreme wave event loading
(Overloading)",3,2,none,"1) Surveillance
2) SCADA
3) etc；Dry dock repair if possible, if not loss of projects",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,Hull,满足系统持续运行要求,"Wave activated body
Provision of watertight compartment
Structural connectivity & load transfer
Ballast containment",,"Severe structural failure
WEC is no longer functioning",4,Severe structural failure,Fatigue and other degradation mechanisms,7,2,none,"1) Surveillance
2) SCADA
3) etc；Dry dock repair if possible, if not loss of projects",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,"1) Sub-optimal performance
2) change in buoyancy
3) only a portion of water may drain (see note)",1,Crack/hole in float (leading to water drainage),"Leak in FRP (e.g. manufacturing flaw, assembly)  *not boat strikes*",4,2,,"1) visual inspection of draft line on floats
2) average angle of the floats seen by encoders；Dry dock for FRP repair",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,"1) Sub-optimal performance
2) change in buoyancy
3) only a portion of water may drain (see note)",1,Crack/hole in float (leading to water drainage),Leak in FRP - fatigue crack due to uncertainties in loading,7,2,,"1) visual inspection of draft line on floats
2) average angle of the floats seen by encoders；Dry dock for FRP repair",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,1) Float becomes locked or reduced motion w.r.t. nacelle,1,Locked / reduced motion,Debris caught between float and nacelle (or spar),6,2,surveillance camera checks/visual inspection,"1) PTO not moving or reduced motion
2) Surveillance cameras；Remove debris
In situ or dry dock repair of FRP if warranted",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,1) Float becomes locked or reduced motion w.r.t. nacelle,1,Locked / reduced motion,Large mammal caught betweeen float and nacelle (or spar),3,2,,"1) PTO not moving or reduced motion
2) Surveillance cameras；Remove mammal",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,1) mammal take,1,Mammal take,Large mammal caught betweeen float and nacelle (or spar),6,2,,1) Surveillance cameras；Remove mammal,StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,"1) Human trapped
2) Potential fatality",10,Service human trapped,service worker falls inbetween fwd float and nacelle,3,2,,1) Surveillance cameras,StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,"1) Human trapped
2) Potential fatality",10,Public human trapped,unauthorized personel falls inbetween fwd float and nacelle,3,2,,1) Surveillance cameras,StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,"1) Loss of performance
2) Loss of known physical parameters (weight of each component)
3) change in buoyancy",1,Hole in float (leading to water drainage),"Debris caught between float and another body, leading to wear that creates a hole that changes buoyancy",5,2,surveillance camera checks/visual inspection,"1) visual inspection of draft line on floats
2) average angle of the floats seen by encoders；Dry dock for FRP repair",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,"1) Loss of performance
2) Loss of known physical parameters (weight of each component)
3) change in buoyancy",1,Hole in float (leading to water drainage),Float arms flexed more than expected. Wear creates a hole that changes buoyancy,5,2,surveillance camera checks/visual inspection,"1) visual inspection of draft line on floats
2) average angle of the floats seen by encoders；Dry dock for FRP repair",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,"1) Sub-optimal performance
2) Increased generator speed (>20RPM) during strike event
3) change in buoyancy",4,Hole in float (leading to water drainage),Non-service Boat Strike,8,2,none,"1) visual inspection of draft line on floats
2) average angle of the floats seen by encoders；In situ FRP repair if possible (hole above waterline and known location)
Worst case: Dry dock inspection and repair of WEC.",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Forward float
Aft float",满足系统持续运行要求,"Wave activated body
Provision of watertight compartment",,"1) Wave loading of float is no longer transferred to rotor
2) Loss of power production
3) Float on Beach/Float out to sea",4,fore/aft float breaks off,One arm breaks off and causes higher stress on other arm so both break and float is free,4,2,"1) Surveillance
2) Visual Detection
3) Dry dock before second arm breaks","1) Average angle of the floats seen by encoders
2) Surveillance；1) Recover float
2) drydock reatachment if possible",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Fwd float drive arm
Aft float drive arm",满足系统持续运行要求,"Drive starboard/port generator rotor
Constrain float to relative pitch about nacelle",,"1) Wave loading of float is no longer transferred to rotor
2) Loss of power production
3) Addtl loading on idler arm",1,Drive arm broken,Fatigue of float arm due to uncertainties in loading,7,2,none,"1) PTO not moving
2) Surveillance cameras；Dry dock reattachment of float arm to WEC",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Fwd float drive arm
Aft float drive arm",满足系统持续运行要求,"Drive starboard/port generator rotor
Constrain float to relative pitch about nacelle",,"1) Wave loading of float is no longer transferred to rotor
2) Loss of power production
3) Addtl loading on idler arm",1,Drive arm broken,"Wearing of float arm, due to deflection",7,2,"Visual inspection, and repair if  needed","1) PTO not moving
2) Surveillance cameras；Dry dock reattachment of float arm to WEC",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
Hull,"Fwd float drive arm
Aft float drive arm",满足系统持续运行要求,"Drive starboard/port generator rotor
Constrain float to relative pitch about nacelle",,"1) Wave loading of float is no longer transferred to rotor
2) Loss of power production
3) Addtl loading on idler arm",3,Drive arm broken,Non-service boat strike,4,2,none,"1) PTO not moving
2) Surveillance cameras；Dry dock reattachment of float arm to WEC",StingRAY/SR-RR-0100 Hull PD v3.0 07-25-2016.xlsx
